epoch,accuracy,loss,val_accuracy,val_loss
0,0.6279500126838684,1.0940800905227661,0.7809000015258789,0.5987595319747925
1,0.7765833139419556,0.608645498752594,0.8095999956130981,0.5244817137718201
2,0.7998999953269958,0.5459107160568237,0.8202999830245972,0.4917009770870209
3,0.8100333213806152,0.5150361657142639,0.8213000297546387,0.4742801785469055
4,0.8163333535194397,0.4945978820323944,0.829200029373169,0.4613208472728729
5,0.8233333230018616,0.477802038192749,0.8314999938011169,0.4531908631324768
6,0.8259666562080383,0.46899718046188354,0.8356000185012817,0.44071176648139954
7,0.8295166492462158,0.46052688360214233,0.8366000056266785,0.43908387422561646
8,0.8311333060264587,0.45243188738822937,0.8395000100135803,0.4347895383834839
9,0.8313166499137878,0.4479535222053528,0.8374000191688538,0.43088188767433167
