epoch,loss,mse,val_loss,val_mse
0,0.38073867559432983,0.04808725416660309,0.31774890422821045,0.024957317858934402
1,0.30938366055488586,0.022701425477862358,0.30715489387512207,0.02111867628991604
2,0.3008197546005249,0.019726036116480827,0.30055221915245056,0.018858376890420914
3,0.2959967255592346,0.018081391230225563,0.29673394560813904,0.017595093697309494
4,0.2931564152240753,0.017133038491010666,0.2946029603481293,0.016863688826560974
5,0.2910103499889374,0.01641150936484337,0.2921707034111023,0.01612066477537155
6,0.289212703704834,0.015806101262569427,0.29051393270492554,0.015598748810589314
7,0.28768205642700195,0.01528859045356512,0.289137065410614,0.015140368603169918
8,0.2864055335521698,0.014856267720460892,0.2879786789417267,0.014746740460395813
9,0.28532448410987854,0.014491074718534946,0.28696009516716003,0.014376971870660782
10,0.28446415066719055,0.014204870909452438,0.28648194670677185,0.014147334732115269
11,0.2836373746395111,0.013927837833762169,0.2854517996311188,0.013834353536367416
12,0.2828088402748108,0.01365018729120493,0.2847505509853363,0.013609419576823711
13,0.282116174697876,0.013418635353446007,0.28412318229675293,0.01338868122547865
14,0.28145113587379456,0.013194275088608265,0.2834862768650055,0.01317684818059206
